2024-12-27 price AED                               0.24519 CHF
2024-12-27 price BABA                                85.06 USD
2024-12-27 price CAD                               0.62458 CHF
2024-12-27 price ECMPA                  22.450000762939453 EUR
2024-12-27 price SLV_OZ                 29.655000686645508 USD
2025-01-03 price AED                               0.24691 CHF
2025-01-03 price BABA                                85.54 USD
2025-01-03 price CAD                               0.62761 CHF
2025-01-03 price ECMPA                  22.600000381469727 EUR
2025-01-03 price SLV_OZ                 29.805999755859375 USD
2025-01-10 price AED                               0.24915 CHF
2025-01-10 price BABA                                80.53 USD
2025-01-10 price CAD                                0.6344 CHF
2025-01-10 price ECMPA                               21.25 EUR
2025-01-10 price SLV_OZ                 31.090999603271484 USD
2025-01-17 price AED                               0.24864 CHF
2025-01-17 price BABA                                85.12 USD
2025-01-17 price CAD                               0.63093 CHF
2025-01-17 price ECMPA                  22.399999618530273 EUR
2025-01-17 price SLV_OZ                 30.951000213623047 USD
2025-01-24 price AED                               0.24624 CHF
2025-01-24 price BABA                                89.14 USD
2025-01-24 price CAD                               0.63037 CHF
2025-01-24 price ECMPA                               22.75 EUR
2025-01-24 price SLV_OZ                 31.023000717163086 USD
2025-01-31 price AED                                0.2477 CHF
2025-01-31 price BABA                                98.84 USD
2025-01-31 price CAD                               0.62621 CHF
2025-01-31 price ECMPA                  23.549999237060547 EUR
2025-01-31 price SLV_OZ                  32.12799835205078 USD
2025-02-07 price AED                               0.24731 CHF
2025-02-07 price BABA                               103.51 USD
2025-02-07 price CAD                               0.63562 CHF
2025-02-07 price ECMPA                               23.75 EUR
2025-02-07 price SLV_OZ                 32.334999084472656 USD
2025-02-14 price AED                                0.2445 CHF
2025-02-14 price BABA                               124.73 USD
2025-02-14 price CAD                                0.6337 CHF
2025-02-14 price ECMPA                  24.149999618530273 EUR
2025-02-14 price SLV_OZ                  32.80099868774414 USD
2025-02-21 price AED                                0.2443 CHF
2025-02-21 price BABA                               143.75 USD
2025-02-21 price CAD                               0.62993 CHF
2025-02-21 price ECMPA                  24.049999237060547 EUR
2025-02-21 price SLV_OZ                  32.97600173950195 USD
2025-02-28 price AED                               0.24548 CHF
2025-02-28 price BABA                               132.51 USD
2025-02-28 price CAD                               0.62349 CHF
2025-02-28 price ECMPA                  24.450000762939453 EUR
2025-02-28 price SLV_OZ                   31.2189998626709 USD
2025-03-07 price AED                               0.23915 CHF
2025-03-07 price BABA                               140.62 USD
2025-03-07 price CAD                               0.61095 CHF
2025-03-07 price ECMPA                  23.700000762939453 EUR
2025-03-07 price SLV_OZ                  32.54800033569336 USD
2025-03-14 price AED                               0.24059 CHF
